timestamp,open,high,low,close,volume,test
2021-04-12 09:15:00+05:30,809.9,809.9,784.5,784.95,1386924,0
2021-04-12 09:20:00+05:30,784.0,785.0,770.0,770.35,1330412,0
2021-04-12 09:25:00+05:30,770.8,781.75,770.35,777.1,828104,0
2021-04-12 09:30:00+05:30,776.5,778.55,772.0,775.45,568793,0
2021-04-12 09:35:00+05:30,774.35,781.75,773.25,780.85,609077,0
2021-04-12 09:40:00+05:30,781.55,785.0,778.75,782.0,560245,0
2021-04-12 09:45:00+05:30,782.35,785.6,780.75,784.35,395172,0
2021-04-12 09:50:00+05:30,783.95,785.2,782.6,783.15,225266,0
2021-04-12 09:55:00+05:30,783.45,788.4,782.9,786.7,400976,0
2021-04-12 10:00:00+05:30,786.95,788.15,783.0,783.2,334350,0
2021-04-12 10:05:00+05:30,783.5,783.5,778.9,781.7,385189,0
2021-04-12 10:10:00+05:30,781.35,785.6,780.8,783.9,204350,0
2021-04-12 10:15:00+05:30,784.0,784.0,779.3,780.4,228590,0
2021-04-12 10:20:00+05:30,780.8,782.55,779.0,780.0,184036,0
2021-04-12 10:25:00+05:30,780.0,780.35,775.95,778.9,332808,0
2021-04-12 10:30:00+05:30,779.0,779.0,776.25,777.3,162725,0
2021-04-12 10:35:00+05:30,777.15,777.25,772.85,773.2,465812,0
2021-04-12 10:40:00+05:30,773.1,774.85,768.15,772.5,698225,0
2021-04-12 10:45:00+05:30,772.25,775.0,770.2,774.6,254557,0
2021-04-12 10:50:00+05:30,774.6,777.4,773.05,775.6,257759,0
2021-04-12 10:55:00+05:30,775.6,776.6,772.0,773.75,158979,0
2021-04-12 11:00:00+05:30,774.15,774.7,771.0,773.4,121030,0
2021-04-12 11:05:00+05:30,773.05,773.4,771.5,772.05,101005,0
2021-04-12 11:10:00+05:30,771.85,772.45,769.0,770.6,295577,0
2021-04-12 11:15:00+05:30,770.65,773.85,770.0,772.3,137329,0
2021-04-12 11:20:00+05:30,772.55,772.8,767.25,768.4,240819,0
2021-04-12 11:25:00+05:30,768.45,768.75,763.3,765.45,529512,0
2021-04-12 11:30:00+05:30,765.2,770.8,764.7,766.35,390188,0
