date,,timestamp,open,high,low,close,volume,test,date,time,vwap
2021-04-12,0,2021-04-12 09:15:00+05:30,809.9,809.9,784.5,784.95,1386924,0,2021-04-12,09:15:00+05:30,784.9499999999999
2021-04-12,1,2021-04-12 09:20:00+05:30,784.0,785.0,770.0,770.35,1330412,0,2021-04-12,09:20:00+05:30,777.8018169265781
2021-04-12,2,2021-04-12 09:25:00+05:30,770.8,781.75,770.35,777.1,828104,0,2021-04-12,09:25:00+05:30,777.637894422131
2021-04-12,3,2021-04-12 09:30:00+05:30,776.5,778.55,772.0,775.45,568793,0,2021-04-12,09:30:00+05:30,777.3354178652497
2021-04-12,4,2021-04-12 09:35:00+05:30,774.35,781.75,773.25,780.85,609077,0,2021-04-12,09:35:00+05:30,777.7886278266724
2021-04-12,5,2021-04-12 09:40:00+05:30,781.55,785.0,778.75,782.0,560245,0,2021-04-12,09:40:00+05:30,778.2351832620271
2021-04-12,6,2021-04-12 09:45:00+05:30,782.35,785.6,780.75,784.35,395172,0,2021-04-12,09:45:00+05:30,778.6607019319646
2021-04-12,7,2021-04-12 09:50:00+05:30,783.95,785.2,782.6,783.15,225266,0,2021-04-12,09:50:00+05:30,778.8319904512081
2021-04-12,8,2021-04-12 09:55:00+05:30,783.45,788.4,782.9,786.7,400976,0,2021-04-12,09:55:00+05:30,779.3323708649478
2021-04-12,9,2021-04-12 10:00:00+05:30,786.95,788.15,783.0,783.2,334350,0,2021-04-12,10:00:00+05:30,779.5271411119121
2021-04-12,10,2021-04-12 10:05:00+05:30,783.5,783.5,778.9,781.7,385189,0,2021-04-12,10:05:00+05:30,779.6462898611546
2021-04-12,11,2021-04-12 10:10:00+05:30,781.35,785.6,780.8,783.9,204350,0,2021-04-12,10:10:00+05:30,779.7665364709059
2021-04-12,12,2021-04-12 10:15:00+05:30,784.0,784.0,779.3,780.4,228590,0,2021-04-12,10:15:00+05:30,779.7859537605893
2021-04-12,13,2021-04-12 10:20:00+05:30,780.8,782.55,779.0,780.0,184036,0,2021-04-12,10:20:00+05:30,779.7911088081843
2021-04-12,14,2021-04-12 10:25:00+05:30,780.0,780.35,775.95,778.9,332808,0,2021-04-12,10:25:00+05:30,779.753918278889
2021-04-12,15,2021-04-12 10:30:00+05:30,779.0,779.0,776.25,777.3,162725,0,2021-04-12,10:30:00+05:30,779.7048445394669
2021-04-12,16,2021-04-12 10:35:00+05:30,777.15,777.25,772.85,773.2,465812,0,2021-04-12,10:35:00+05:30,779.3526307915686
2021-04-12,17,2021-04-12 10:40:00+05:30,773.1,774.85,768.15,772.5,698225,0,2021-04-12,10:40:00+05:30,778.8382075730341
2021-04-12,18,2021-04-12 10:45:00+05:30,772.25,775.0,770.2,774.6,254557,0,2021-04-12,10:45:00+05:30,778.7253037089935
2021-04-12,19,2021-04-12 10:50:00+05:30,774.6,777.4,773.05,775.6,257759,0,2021-04-12,10:50:00+05:30,778.6432141557893
2021-04-12,20,2021-04-12 10:55:00+05:30,775.6,776.6,772.0,773.75,158979,0,2021-04-12,10:55:00+05:30,778.5652066278465
2021-04-12,21,2021-04-12 11:00:00+05:30,774.15,774.7,771.0,773.4,121030,0,2021-04-12,11:00:00+05:30,778.503270485533
2021-04-12,22,2021-04-12 11:05:00+05:30,773.05,773.4,771.5,772.05,101005,0,2021-04-12,11:05:00+05:30,778.4393320871568
2021-04-12,23,2021-04-12 11:10:00+05:30,771.85,772.45,769.0,770.6,295577,0,2021-04-12,11:10:00+05:30,778.2184422039318
2021-04-12,24,2021-04-12 11:15:00+05:30,770.65,773.85,770.0,772.3,137329,0,2021-04-12,11:15:00+05:30,778.141962334706
2021-04-12,25,2021-04-12 11:20:00+05:30,772.55,772.8,767.25,768.4,240819,0,2021-04-12,11:20:00+05:30,777.9260968490469
2021-04-12,26,2021-04-12 11:25:00+05:30,768.45,768.75,763.3,765.45,529512,0,2021-04-12,11:25:00+05:30,777.3464808928106
2021-04-12,27,2021-04-12 11:30:00+05:30,765.2,770.8,764.7,766.35,390188,0,2021-04-12,11:30:00+05:30,776.9824866266493
2021-04-12,28,2021-04-12 11:35:00+05:30,766.25,769.4,763.25,769.0,274351,0,2021-04-12,11:35:00+05:30,776.800926840632
2021-04-12,29,2021-04-12 11:40:00+05:30,769.1,769.1,765.15,766.6,142684,0,2021-04-12,11:40:00+05:30,776.6816701712858
2021-04-12,30,2021-04-12 11:45:00+05:30,766.25,767.3,764.2,765.15,119574,0,2021-04-12,11:45:00+05:30,776.5697875713074
2021-04-12,31,2021-04-12 11:50:00+05:30,765.4,765.9,760.05,761.45,395556,0,2021-04-12,11:50:00+05:30,776.0996040086244
2021-04-12,32,2021-04-12 11:55:00+05:30,761.05,764.4,758.4,761.85,348389,0,2021-04-12,11:55:00+05:30,775.7197243487955
2021-04-12,33,2021-04-12 12:00:00+05:30,761.6,762.15,750.0,752.5,652784,0,2021-04-12,12:00:00+05:30,774.6150452327344
2021-04-12,34,2021-04-12 12:05:00+05:30,752.1,752.55,741.7,743.95,1118749,0,2021-04-12,12:05:00+05:30,772.3032710337051
2021-04-12,35,2021-04-12 12:10:00+05:30,743.75,749.0,741.25,745.4,523966,0,2021-04-12,12:10:00+05:30,771.3857673936408
2021-04-12,36,2021-04-12 12:15:00+05:30,745.4,754.7,744.35,744.8,677479,0,2021-04-12,12:15:00+05:30,770.2629623171777
2021-04-12,37,2021-04-12 12:20:00+05:30,745.35,752.0,744.45,751.15,336021,0,2021-04-12,12:20:00+05:30,769.8708138923714
2021-04-12,38,2021-04-12 12:25:00+05:30,751.4,751.75,742.7,748.0,514195,0,2021-04-12,12:25:00+05:30,769.2050455946718
2021-04-12,39,2021-04-12 12:30:00+05:30,748.5,750.8,745.7,748.5,289557,0,2021-04-12,12:30:00+05:30,768.8560990195396
2021-04-12,40,2021-04-12 12:35:00+05:30,748.65,754.7,747.85,753.3,405743,0,2021-04-12,12:35:00+05:30,768.497207246866
2021-04-12,41,2021-04-12 12:40:00+05:30,753.4,758.55,751.7,757.85,467835,0,2021-04-12,12:40:00+05:30,768.221315738867
2021-04-12,42,2021-04-12 12:45:00+05:30,757.6,760.0,750.55,754.6,474575,0,2021-04-12,12:45:00+05:30,767.8724440907455
2021-04-12,43,2021-04-12 12:50:00+05:30,754.3,755.7,751.3,752.45,196939,0,2021-04-12,12:50:00+05:30,767.7102499593349
2021-04-12,44,2021-04-12 12:55:00+05:30,752.05,752.25,749.0,749.9,209414,0,2021-04-12,12:55:00+05:30,767.513281722489
2021-04-12,45,2021-04-12 13:00:00+05:30,749.5,754.5,749.0,753.0,195330,0,2021-04-12,13:00:00+05:30,767.3650988398379
2021-04-12,46,2021-04-12 13:05:00+05:30,752.85,754.15,750.25,751.0,128241,0,2021-04-12,13:05:00+05:30,767.2561287049906
2021-04-12,47,2021-04-12 13:10:00+05:30,751.0,753.85,750.15,752.1,148985,0,2021-04-12,13:10:00+05:30,767.1397841378806
2021-04-12,48,2021-04-12 13:15:00+05:30,752.1,756.0,751.4,754.9,241774,0,2021-04-12,13:15:00+05:30,766.9891852014889
2021-04-12,49,2021-04-12 13:20:00+05:30,755.0,757.0,753.0,753.25,284404,0,2021-04-12,13:20:00+05:30,766.7931678523415
2021-04-12,50,2021-04-12 13:25:00+05:30,753.3,754.0,750.5,752.8,328322,0,2021-04-12,13:25:00+05:30,766.5664325062493
